origin,destination,departure,arrival,vehicle_class,price,fare,duration
MADRID,SEVILLA,2019-04-16 07:00:00,2019-04-16 09:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-16 07:00:00,2019-04-16 09:32:00,Preferente,71.4938,Promo,152
MADRID,SEVILLA,2019-04-16 07:00:00,2019-04-16 09:32:00,Turista Plus,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-16 07:15:00,2019-04-16 16:37:00,Turista,71.4938,Adulto ida,562
MADRID,BARCELONA,2019-04-16 07:15:00,2019-04-16 16:37:00,Turista,43.25,Adulto ida,562
MADRID,BARCELONA,2019-04-16 07:30:00,2019-04-16 10:40:00,Turista,107.7,Flexible,190
MADRID,BARCELONA,2019-04-16 07:30:00,2019-04-16 10:40:00,Turista Plus,71.4938,Promo,190
MADRID,BARCELONA,2019-04-16 08:00:00,2019-04-16 10:30:00,Preferente,169.2,Promo,150
MADRID,BARCELONA,2019-04-16 08:00:00,2019-04-16 10:30:00,Turista Plus,106.75,Promo,150
MADRID,BARCELONA,2019-04-16 08:00:00,2019-04-16 10:30:00,Turista Plus,94.55,Promo,150
MADRID,SEVILLA,2019-04-16 08:00:00,2019-04-16 10:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-16 08:30:00,2019-04-16 11:15:00,Turista,107.7,Flexible,165
MADRID,SEVILLA,2019-04-16 08:30:00,2019-04-16 11:14:00,Turista,71.4938,Flexible,164
MADRID,BARCELONA,2019-04-16 08:30:00,2019-04-16 11:15:00,Preferente,181.5,Flexible,165
MADRID,SEVILLA,2019-04-16 09:00:00,2019-04-16 11:38:00,Turista,71.4938,Flexible,158
MADRID,SEVILLA,2019-04-16 09:00:00,2019-04-16 11:38:00,Turista,76.3,Flexible,158
MADRID,BARCELONA,2019-04-16 09:30:00,2019-04-16 12:34:00,Turista,71.4938,Promo,184
MADRID,BARCELONA,2019-04-16 09:30:00,2019-04-16 12:34:00,Preferente,181.5,Flexible,184
MADRID,SEVILLA,2019-04-16 09:45:00,2019-04-16 12:27:00,Turista,71.4938,Flexible,162
MADRID,SEVILLA,2019-04-16 10:00:00,2019-04-16 12:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-16 10:00:00,2019-04-16 12:32:00,Turista,71.4938,Flexible,152
MADRID,SEVILLA,2019-04-16 11:00:00,2019-04-16 13:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-16 11:05:00,2019-04-16 13:41:00,Preferente,87.4,Flexible,156
MADRID,SEVILLA,2019-04-16 11:05:00,2019-04-16 13:41:00,Preferente,71.4938,Promo,156
